INFO : 2026/04/08 14:56:00 db.go:34: Successfully Connected Database :  &{{{} {} 0} 0x27d5b14dc768 {{} {} 0} {{} {0 0}} [0x27d5b165e900] {[]} 1 0x27d5b150c460 false map[0x27d5b165e900:map[0x27d5b165e900:true]] map[] 25 25 300000000000 0 0x27d5b150c690 0 0 0 0 0x7ff7c7f36420}
INFO : 2026/04/08 14:56:26 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:26 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:26 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:26 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:26 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:26 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:26 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:27 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:27 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:27 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:27 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:27 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:27 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:27 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:28 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:28 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:28 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:28 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:28 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:28 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:28 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:29 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:29 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:29 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:29 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:29 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:29 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:29 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:30 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:30 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:30 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:30 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:30 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:30 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:30 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:31 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:31 product_controller.go:84: Bulk insert success. Total-Inseted :  500
